,id_str,id,screen_name,confirmed_account_type,state,twitter_name,real_name,bioguide,office_holder,party,district,level,woman,birthday,last_updated
2613,1912161404.0,1912161404.0,januaryaz,1.0,Arizona,January Contreras,,,,,,,,,2021-04-20
2614,40834201.0,40834201.0,jeffweninger,1.0,Arizona,Jeff Weninger,,,,,,,,,2021-04-20
2615,2176563218.0,2176563218.0,bennettarizona,1.0,Arizona,Ken Bennett,,,,,,,,,2021-04-20
2616,612117635.0,612117635.0,repronbarber,1.0,Arizona,RepRonBarber,Ron Barber,B001279,2.0,Democratic,2.0,3.0,0.0,1945-08-25,2021-04-20
2617,4081035674.0,4081035674.0,9thflooraz,1.0,Arizona,The 9th Floor,,,,,,,,,2021-04-20
2618,251449052.0,251449052.0,adamdriggs,1.0,Arizona,Adam Driggs,,,,,,,,,2021-04-20
2619,9.772715716801454e+17,9.772715716801454e+17,drdavidbrill,1.0,Arizona,Dr. David Brill,,,,,,,,,2021-04-20
2620,19862640.0,19862640.0,jeffdial,1.0,Arizona,Jeff Dial,,,,,,,,,2021-04-20
2621,320293368.0,320293368.0,adamkwasman,1.0,Arizona,Adam Kwasman,,,,,,,,,2021-04-20
2622,28819823.0,28819823.0,harryemitchell,1.0,Arizona,Harry Mitchell,Harry Mitchell,M001167,2.0,Democratic,5.0,3.0,0.0,1940-07-18,2021-04-20
2623,1.0828575922698977e+18,1.0828575922698977e+18,supt_hoffman,1.0,Arizona,Kathy Hoffman,,,,,,,,,2021-04-20
2624,411024392.0,411024392.0,votewarren,1.0,Arizona,Warren Petersen,,,,,,,,,2021-04-20
2625,466777434.0,466777434.0,replarkin,1.0,Arizona,Jonathan Larkin,,,,,,,,,2021-04-20
2626,15186725.0,15186725.0,seanbowie,1.0,Arizona,Sen. Sean Bowie,,,,,,,,,2021-04-20
2627,3058894022.0,3058894022.0,aztreasurer,1.0,Arizona,Jeff DeWit,,,,,,,,,2021-04-20
2628,529638758.0,529638758.0,bob_worsley,1.0,Arizona,Bob Worsley,,,,,,,,,2021-04-20
2629,621487665.0,621487665.0,brucewheeleraz,1.0,Arizona,Bruce Wheeler,,,,,,,,,2021-04-20
2630,9.791404800960717e+17,9.791404800960717e+17,almaforarizona,1.0,Arizona,(((Rep.Alma Hernandez MPH)))🧼🤚🏽,,,,,,,,,2021-04-20
2631,25955635.0,25955635.0,ld18dems,1.0,Arizona,AZ Democrats LD18,,,,,,,,,2021-04-20
2632,900733878.0,900733878.0,azsba_gr,1.0,Arizona,ASBA Gov Relations,,,,,,,,,2021-04-20
2633,281796440.0,281796440.0,salmoncongress,1.0,Arizona,Matt Salmon,,,,,,,,,2021-04-20
2634,1947721651.0,1947721651.0,eileen_klein,1.0,Arizona,Eileen Klein,,,,,,,,,2021-04-20
2635,486895422.0,486895422.0,ronbarberaz,1.0,Arizona,Ron Barber,,,,,,,,,2021-04-20
2636,23403105.0,23403105.0,ydaz,1.0,Arizona,Young Democrats of Arizona,,,,,,,,,2021-04-20
2637,8.257665215110881e+17,8.257665215110881e+17,jevinforaz,1.0,Arizona,Team Hodge,,,,,,,,,2021-04-20
2638,2579009659.0,2579009659.0,bradley4az,1.0,Arizona,,,,,,,,,,2021-04-20
2639,128707668.0,128707668.0,amanda_reeve,1.0,Arizona,Amanda A. Reeve,,,,,,,,,2021-04-20
2640,21230289.0,21230289.0,rodneyglassman,1.0,Arizona,Rodney Glassman,,,,,,,,,2021-04-20
2641,363952440.0,363952440.0,sierra4az,1.0,Arizona,Rep. Lorenzo Sierra,,,,,,,,,2021-04-20
2642,9.914720064063037e+17,9.914720064063037e+17,aaron4az,1.0,Arizona,Rep. Aaron Lieberman,,,,,,,,,2021-04-20
2643,63563043.0,63563043.0,barton4az,1.0,Arizona,Brenda Barton,,,,,,,,,2021-04-20
2644,1674709026.0,1674709026.0,ld24dems,1.0,Arizona,,,,,,,,,,2021-04-20
2645,76043920.0,76043920.0,repjohnshadegg,1.0,Arizona,John Shadegg,John Shadegg,S000275,2.0,Republican,3.0,3.0,0.0,1949-10-22,2021-04-20
2646,466758616.0,466758616.0,karynforazhouse,1.0,Arizona,Karyn Lathan,,,,,,,,,2021-04-20
2647,36459535.0,36459535.0,ld18gop,1.0,Arizona,AZ LD18 Republicans,,,,,,,,,2021-04-20
2648,1733015970.0,1733015970.0,pimadems,1.0,Arizona,Pima County Democratic Party,,,,,,,,,2021-04-20
2649,3070178473.0,3070178473.0,a_dlcc,1.0,Arizona,ADLCC,,,,,,,,,2021-04-20
2650,18251714.0,18251714.0,jamescita,1.0,Arizona,Jamescita Peshlakai,,,,,,,,,2021-04-20
2651,25640802.0,25640802.0,rosannagabaldon,1.0,Arizona,Rosanna Gabaldon,,,,,,,,,2021-04-20
2652,71129590.0,71129590.0,sara_mueller,1.0,Arizona,Sara Mueller,,,,,,,,,2021-04-20
2653,772437438.0,772437438.0,sonnyborrelli,1.0,Arizona,Sonny Borrelli,,,,,,,,,2021-04-20
2654,9.910137056587162e+17,9.910137056587162e+17,teamducey,1.0,Arizona,Team Ducey,,,,,,,,,2021-04-20
2655,1335961452.0,1335961452.0,pinalgop,1.0,Arizona,Pinal County Republican Committee,,,,,,,,,2021-04-20
2656,28006232.0,28006232.0,davidgowan,1.0,Arizona,David Gowan,,,,,,,,,2021-04-20
2657,2335677686.0,2335677686.0,azrobertmeza,1.0,Arizona,Robert Meza,,,,,,,,,2021-04-20
2658,8.766470092597248e+17,8.766470092597248e+17,marymatiella,1.0,Arizona,Mary Matiella,,,,,,,,,2021-04-20
2659,233737858.0,233737858.0,senronjohnson,1.0,Wisconsin,Senator Ron Johnson,Ron Johnson,J000293,1.0,Republican,99.0,3.0,0.0,1955-04-08,2021-04-20
2660,8.294381761250836e+17,8.294381761250836e+17,azlatinolc,1.0,Arizona,AZ Latino Legislative Caucus,,,,,,,,,2021-04-20
2661,1888170276.0,1888170276.0,raycarrollaz,1.0,Arizona,Ray Carroll,,,,,,,,,2021-04-20
2662,316723819.0,316723819.0,votemccomish,1.0,Arizona,John McComish,,,,,,,,,2021-04-20
2663,237112418.0,237112418.0,grijalvastaff,1.0,Arizona,Grijalva Staff,,,,,,,,,2021-04-20
2664,49749751.0,49749751.0,pcdemocrats,1.0,Arizona,,,,,,,,,,2021-04-20
2665,1308169411.0,1308169411.0,ld25azgop,1.0,Arizona,Republicans of Mesa,,,,,,,,,2021-04-20
2666,1305990174.0,1305990174.0,ld23azgop,1.0,Arizona,LD23azgop,,,,,,,,,2021-04-20
2667,1284504468.0,1284504468.0,ld2azgop,1.0,Arizona,LD2AZGOP,,,,,,,,,2021-04-20
2668,9.179908599578173e+17,9.179908599578173e+17,realstevegaynor,1.0,Arizona,Steve Gaynor,,,,,,,,,2021-04-20
2669,1284513882.0,1284513882.0,ld3azgop,1.0,Arizona,LD3AZGOP,,,,,,,,,2021-04-20
2670,1305974372.0,1305974372.0,ld18azgop,1.0,Arizona,ld18azgop,,,,,,,,,2021-04-20
2671,27088513.0,27088513.0,myranda23,1.0,Arizona,Myranda Deakin,,,,,,,,,2021-04-20
